,month,count
0,200704,217
1,200705,171
2,200706,588
3,200707,224
4,200708,200
5,200709,165
6,200710,332
7,200711,534
8,200712,173
9,200201,136
10,200202,146
11,200203,83
12,200204,105
13,200205,185
14,200206,108
15,200207,93
16,200208,143
17,200209,75
18,200210,94
19,200211,104
20,200212,60
21,201301,836
22,201302,696
23,201303,797
24,201304,993
25,201305,1106
26,201306,857
27,201307,1169
28,201308,1037
29,201309,955
30,201310,1163
31,201311,1215
32,201312,1212
33,200801,329
34,200802,156
35,200803,321
36,200804,506
37,200805,499
38,200806,510
39,200807,554
40,200808,462
41,200809,268
42,200810,327
43,200811,431
44,200812,442
45,200301,195
46,200302,114
47,200303,195
48,200304,83
49,200305,157
50,200306,62
51,200307,117
52,200308,36
53,200309,74
54,200310,59
55,200311,107
56,200312,80
57,199801,82
58,199802,95
59,199803,63
60,199804,66
61,199805,54
62,199806,41
63,199807,105
64,199808,125
65,199809,65
66,199810,114
67,199811,90
68,199812,34
69,200912,336
70,201401,1358
71,201402,1404
72,201403,1521
73,201404,1476
74,201405,1654
75,201406,1406
76,201407,1726
77,201408,1362
78,201409,1286
79,201410,1329
80,201411,1231
81,201412,1149
82,200901,403
83,200902,339
84,200903,412
85,200904,416
86,200905,418
87,200906,432
88,200907,466
89,200908,401
90,200909,342
91,200910,420
92,200911,337
93,200400,1
94,200401,79
95,200402,44
96,200403,82
97,200404,96
98,200405,93
99,200406,156
100,200407,113
101,200408,121
102,200409,105
103,200410,119
104,200411,73
105,200412,84
106,199901,63
107,199902,61
108,199903,184
109,199904,88
110,199905,94
111,199906,183
112,199907,158
113,199908,113
114,199909,79
115,199910,165
116,199911,142
117,199912,64
118,201501,1535
119,201502,1296
120,201503,1178
121,201504,1280
122,201505,1314
123,201506,1165
124,201507,1265
125,201508,1293
126,201509,1108
127,201510,1269
128,201511,1167
129,201512,1094
130,201001,278
131,201002,411
132,201003,368
133,201004,359
134,201005,462
135,201006,376
136,201007,411
137,201008,409
138,201009,527
139,201010,374
140,201011,467
141,201012,385
142,200501,177
143,200502,71
144,200503,198
145,200504,209
146,200505,231
147,200506,144
148,200507,273
149,200508,260
150,200509,119
151,200510,145
152,200511,74
153,200512,115
154,200001,186
155,200002,113
156,200003,95
157,200004,98
158,200005,130
159,200006,167
160,200007,157
161,200008,121
162,200009,227
163,200010,172
164,200011,182
165,200012,167
166,201601,1160
167,201602,1155
168,201603,1145
169,201604,1120
170,201605,1356
171,201606,1153
172,201607,1114
173,201608,1162
174,201609,1046
175,201610,1137
176,201611,1117
177,201612,927
178,201101,402
179,201102,376
180,201103,447
181,201104,436
182,201105,450
183,201106,400
184,201107,388
185,201108,341
186,201109,341
187,201110,402
188,201111,662
189,201112,431
190,200601,282
191,200602,434
192,200603,120
193,200604,405
194,200605,215
195,200606,120
196,200607,271
197,200608,241
198,200609,158
199,200610,186
200,200611,163
201,200612,164
202,200101,164
203,200102,136
204,200103,168
205,200104,116
206,200105,98
207,200106,80
208,200107,78
209,200108,568
210,200109,141
211,200110,99
212,200111,135
213,200112,123
214,201701,875
215,201702,877
216,201703,961
217,201704,864
218,201705,1083
219,201706,1077
220,201707,995
221,201708,969
222,201709,836
223,201710,806
224,201711,803
225,201712,751
226,201201,726
227,201202,556
228,201203,655
229,201204,723
230,201205,843
231,201206,771
232,201207,743
233,201208,815
234,201209,645
235,201210,778
236,201211,687
237,201212,579
238,200701,174
239,200702,234
240,200703,228
